"X","Y","Z","TimeStep1 - temperature","TimeStep2 - temperature","TimeStep3 - temperature"
0.0,0.0,0.0,100.0,100.0,100.0
0.3333333333333333,0.0,0.0,133.3333950614998,133.333333333562,133.33333333333334
0.6666666666666666,0.0,0.0,166.66660493850029,166.66666666643812,166.66666666666674
1.0,0.0,0.0,200.0,200.0,200.0
0.0,0.3333333333333333,0.0,100.0,100.0,100.0
0.3333333333333333,0.3333333333333333,0.0,133.3333950614998,133.333333333562,133.33333333333334
0.6666666666666666,0.3333333333333333,0.0,166.66660493850026,166.6666666664381,166.66666666666669
1.0,0.3333333333333333,0.0,200.0,200.0,200.0
0.0,0.6666666666666666,0.0,100.0,100.0,100.0
0.3333333333333333,0.6666666666666666,0.0,133.33339506149977,133.33333333356197,133.33333333333331
0.6666666666666666,0.6666666666666666,0.0,166.66660493850023,166.66666666643803,166.6666666666666
1.0,0.6666666666666666,0.0,200.0,200.0,200.0
0.0,1.0,0.0,100.0,100.0,100.0
0.3333333333333333,1.0,0.0,133.3333950614998,133.33333333356197,133.33333333333334
0.6666666666666666,1.0,0.0,166.66660493850023,166.66666666643803,166.66666666666666
1.0,1.0,0.0,200.0,200.0,200.0
