"X","Y","Z","TimeStep1 - u","TimeStep1 - v","TimeStep1 - w"
0.0,0.0,0.0,9.999999988258302e-05,-2.0511667654727914e-13,-7.911326417256316e-14
0.16666666666666666,0.0,0.0,8.33333333027365e-05,-1.6610159658115285e-13,4.172227871676243e-14
0.3333333333333333,0.0,0.0,6.666666665537412e-05,-2.847237249142255e-14,1.3663045946518497e-14
0.5,0.0,0.0,4.999999999537727e-05,7.344906074874429e-15,-4.2273272490446434e-15
0.6666666666666666,0.0,0.0,3.3333333330367534e-05,-5.533881275794622e-15,5.859478379316351e-16
0.8333333333333333,0.0,0.0,1.6666666664892987e-05,4.691349960165857e-15,-9.60091447844313e-15
1.0,0.0,0.0,1.230059508218671e-15,-9.234430388302819e-15,1.1079083600681973e-14
0.0,0.16666666666666666,0.0,0.00010000000061715641,-5.6286119914304775e-14,2.3381151293144326e-13
0.16666666666666666,0.16666666666666666,0.0,8.333333347879658e-05,-4.167111322735273e-14,-1.0706836158992122e-14
0.3333333333333333,0.16666666666666666,0.0,6.666666667527911e-05,-1.3746935082529081e-14,-1.753401759208283e-14
0.5,0.16666666666666666,0.0,4.999999999590566e-05,-3.159137675629659e-16,1.2335423215241356e-14
0.6666666666666666,0.16666666666666666,0.0,3.3333333330880314e-05,-1.181079384497601e-15,-5.005592312527912e-16
0.8333333333333333,0.16666666666666666,0.0,1.6666666664887905e-05,-1.4933939554182358e-16,3.7514686599921467e-16
1.0,0.16666666666666666,0.0,-3.252479032033016e-15,-2.823427200122511e-15,-1.4129721315302142e-15
0.0,0.3333333333333333,0.0,9.999999974536115e-05,9.369920844664942e-15,-1.9158750943539945e-13
0.16666666666666666,0.3333333333333333,0.0,8.333333328279287e-05,1.461361551275822e-14,4.122203698028198e-15
0.3333333333333333,0.3333333333333333,0.0,6.666666665825551e-05,-9.324818028477196e-16,-1.6751400772463057e-15
0.5,0.3333333333333333,0.0,4.999999999510082e-05,-1.2696037274806446e-15,-6.816356081940476e-16
0.6666666666666666,0.3333333333333333,0.0,3.3333333330381534e-05,-1.3480650826917263e-15,-1.7682037240292062e-15
0.8333333333333333,0.3333333333333333,0.0,1.666666666554726e-05,-7.04586076652414e-16,1.1624097835104404e-16
1.0,0.3333333333333333,0.0,1.2232222350635301e-15,-1.4554898879240472e-15,-6.561448085272414e-17
0.0,0.5,0.0,0.0001000000000725946,-1.5430376553291705e-14,-1.4986921158283648e-13
0.16666666666666666,0.5,0.0,8.333333332872173e-05,-5.59390206421988e-15,6.184022876749328e-14
0.3333333333333333,0.5,0.0,6.666666666370868e-05,-3.66699276530344e-15,1.1158253559083603e-14
0.5,0.5,0.0,4.999999999726363e-05,-2.0506817550810757e-15,4.891984204276928e-16
0.6666666666666666,0.5,0.0,3.333333333137594e-05,-1.840393241884751e-15,6.371864487289486e-16
0.8333333333333333,0.5,0.0,1.6666666665841102e-05,-1.3701467587758153e-15,2.0930394879578998e-17
1.0,0.5,0.0,1.460741190602502e-16,-1.3648656686034614e-15,1.6904668990074075e-16
0.0,0.6666666666666666,0.0,0.00010000000001419416,6.933526415048654e-15,2.2289548817412543e-13
0.16666666666666666,0.6666666666666666,0.0,8.333333336066161e-05,1.1195846179620265e-14,-3.191685166406535e-14
0.3333333333333333,0.6666666666666666,0.0,6.666666667051276e-05,-1.6585243738995321e-15,-5.406612819526949e-15
0.5,0.6666666666666666,0.0,4.999999999947911e-05,-1.8149769467010597e-15,-1.3467840524458512e-15
0.6666666666666666,0.6666666666666666,0.0,3.3333333332525055e-05,-1.9317318191448365e-15,-3.060787220586454e-17
0.8333333333333333,0.6666666666666666,0.0,1.66666666661502e-05,-1.4195791170511843e-15,-1.3677423476945173e-16
1.0,0.6666666666666666,0.0,-1.164642815881637e-16,-1.2458565639041171e-15,-7.771344057414881e-17
0.0,0.8333333333333333,0.0,9.999999997052963e-05,-4.213886526361718e-14,-1.855621262862919e-13
0.16666666666666666,0.8333333333333333,0.0,8.33333333385139e-05,1.4322367555601206e-14,4.910826828382298e-14
0.3333333333333333,0.8333333333333333,0.0,6.66666666686014e-05,-2.9366491975400987e-16,-2.859030993149615e-16
0.5,0.8333333333333333,0.0,5.000000000149685e-05,-1.5222750784832939e-15,3.1777457388773625e-16
0.6666666666666666,0.8333333333333333,0.0,3.3333333333844204e-05,-1.6291871217447107e-15,-7.266383353770298e-17
0.8333333333333333,0.8333333333333333,0.0,1.666666666667673e-05,-9.012234232314415e-16,2.755650969448065e-16
1.0,0.8333333333333333,0.0,-1.292126913824691e-16,-1.0152144928884802e-15,-1.5684275068869177e-16
0.0,1.0,0.0,0.00010000000005002366,-2.6122077680794047e-13,1.20246134415951e-13
0.16666666666666666,1.0,0.0,8.333333337086291e-05,6.790974733920659e-14,-5.654706507944431e-14
0.3333333333333333,1.0,0.0,6.666666667339278e-05,-6.790459778999995e-15,9.110148350065058e-15
0.5,1.0,0.0,5.0000000004280866e-05,2.860267801482844e-16,1.0139176881915434e-16
0.6666666666666666,1.0,0.0,3.333333333483517e-05,3.7252113473655436e-16,6.393892287248334e-16
0.8333333333333333,1.0,0.0,1.666666666720351e-05,3.6660533355881536e-18,1.0426489507107061e-16
1.0,1.0,0.0,2.614765834755422e-17,-7.746965982725101e-16,-2.692232655461025e-16
0.0,0.0,0.16666666666666666,9.999999977548834e-05,1.0898881557558142e-13,-1.4278361351041663e-14
0.16666666666666666,0.0,0.16666666666666666,8.333333323934718e-05,1.0043899809444593e-13,-1.0243725330245194e-14
