"X","Y","Z","TimeStep1 - u","TimeStep1 - v"
0.1433944683473016,0.4543326525920209,0.0,-2.5506110310363214e-08,-0.00017840797485713341
0.455057252197199,0.1425572725142195,0.0,5.269339926701618e-08,-6.689445065130928e-05
0.454852943486838,0.8548659492029488,0.0,-5.4729782966614396e-08,-0.0002517263547724459
0.8550073053301133,0.4551734137142351,0.0,5.853960495329284e-08,-0.0001786285669089138
0.5025268291786601,0.5491777128411119,0.0,-2.5989550844869918e-08,-0.00020292769126090045
0.5760599175355938,0.2226893496033974,0.0,7.084571697552155e-08,-0.00010008049913732996
0.3022282416231162,0.1065640559418765,0.0,4.908028746578243e-08,-5.090844908046838e-05
0.8934359440581239,0.302228241623116,0.0,-1.3292447785557054e-08,-0.00012993163352266102
0.6650291088154253,0.7474206027173125,0.0,3.8114690777804516e-08,-0.00023979547447051166
0.3284515461895454,0.4677427902867091,0.0,-4.133854195896639e-08,-0.00018220754421364036
0.6026942967555364,0.659612829282515,0.0,1.2694290895590311e-08,-0.00022575710101786095
0.7818967677944089,0.8950901204623731,0.0,-3.8439839317877916e-08,-0.0002547047899719475
0.6637908886453731,0.5329647826669539,0.0,9.232154488281628e-09,-0.0001990289575860532
0.8913644134702445,0.6983607155621018,0.0,1.653532722529821e-08,-0.00023243539699111735
0.1084028500113783,0.6983537001914046,0.0,-2.0637547610656274e-08,-0.00023242532744564544
0.8935266305730094,0.219756857017177,0.0,1.009606023204102e-08,-9.88967023351436e-05
0.219756857017177,0.1064733694269907,0.0,-6.217052832983568e-09,-5.090251959252308e-05
0.1062810497127002,0.7800572800248098,0.0,1.4634944541508733e-08,-0.0002439705628707326
0.6431306872380507,0.2564461540754618,0.0,-2.953408732349526e-08,-0.00011312658456379315
0.1500626751079004,0.4033196798941856,0.0,4.6407141768920596e-08,-0.0001634332214756833
0.4030142524127986,0.8497406573892096,0.0,1.2025363384339875e-08,-0.00025128672959061056
0.406497216007997,0.1486717770880164,0.0,1.2032733987643467e-08,-6.952319261908278e-05
0.8510382917029757,0.4065110447600251,0.0,-1.1495964653516959e-08,-0.0001643788341358098
0.4665357204873969,0.6160785534357236,0.0,3.5924828586177316e-08,-0.00021748186291341135
0.2561684717442791,0.3616112508357353,0.0,3.005843555468531e-08,-0.00015023733028080323
0.4475543734594165,0.4192721528033242,0.0,2.41392984461562e-08,-0.00016821069381714124
0.2200500186477973,0.5407691170842228,0.0,3.01154614966047e-08,-0.0002009336126043344
0.2148626372112839,0.4252605994056927,0.0,1.5170852308692545e-08,-0.00017003405160531784
0.3725036952433033,0.3904497183063058,0.0,1.4093774550540675e-08,-0.00015946016674171475
0.8209652977910742,0.6742349854112815,0.0,-5.66042352542359e-09,-0.00022840186162458015
0.1000217017572066,0.220224124653228,0.0,2.5469054761858668e-08,-9.911165676548119e-05
0.2198513132955535,0.9001602875078192,0.0,7.528235440147028e-08,-0.00025505624939630686
0.7811837800305095,0.1049628954033052,0.0,2.617648040958545e-08,-5.012759774840937e-05
0.8927118345406134,0.779525788215727,0.0,4.8105722208747475e-09,-0.00024389920827480954
0.7438557696191305,0.6436573227383221,0.0,-2.3279960103403252e-10,-0.00022287165874332855
0.7858820943298689,0.5421434948672883,0.0,2.013748834044129e-08,-0.00020118205878815785
0.1786959011098337,0.3317495447567232,0.0,8.151450580216968e-09,-0.0001402694877982757
0.3298614227517372,0.8190928864057789,0.0,2.301283229959443e-08,-0.0002483700913251965
0.09516548396504942,0.03934344238303961,0.0,-1.4361429333231489e-09,-1.951433319269033e-05
0.03932585744051309,0.904830655361583,0.0,-5.915406188981128e-09,-0.0002553939686287103
0.6310677843117053,0.1136506574027524,0.0,3.161509278170408e-08,-5.409747779413564e-05
0.6310677843117052,0.8863493425972477,0.0,3.6130880941049325e-09,-0.0002541314354829961
0.8488263934074674,0.6368485039563713,0.0,-4.6900376719798584e-08,-0.00022153945656499955
0.1803220832230492,0.9226073834779369,0.0,-5.916845425824644e-09,-0.0002564136329513415
0.3521832340357358,0.1604382443286956,0.0,-6.954568938462443e-09,-7.457669858032263e-05
0.5724820045062731,0.3639920011933794,0.0,-8.813736608066777e-09,-0.0001510239797639318
0.3566142742432238,0.4377037458774573,0.0,-2.4694403919624496e-09,-0.0001737072023600914
0.1533583277005049,0.3616708407912892,0.0,-5.666832195919489e-08,-0.00015026719099593748
0.6404119962284867,0.1530963842662046,0.0,-4.070743298994683e-08,-7.143125412635843e-05
0.8149537544412608,0.08130317275417936,0.0,-4.1949920817371954e-08,-3.939865609946429e-05
0.7044321270674021,0.7106207948999339,0.0,-2.7753580761341387e-08,-0.00023442408205760006
0.7778942118708383,0.5051219482017013,0.0,3.1128659769271404e-09,-0.00019206179911846762
0.2978029187013648,0.2867888873975731,0.0,-2.97094716088455e-08,-0.00012442405079097214
0.5000000000000003,0.5000000000000004,0.0,-3.918588456535869e-09,-0.00019081468676890897
0.8516956117714563,0.4995968835736588,0.0,-1.4122032528485289e-08,-0.00019063330162039365
0.64064072783585,0.5665021293070077,0.0,-1.3003478690540172e-08,-0.0002068779951078784
0.2591404243108436,0.1062235261375254,0.0,-5.67588912835467e-09,-5.076893939303371e-05
0.611273613988548,0.3306218936018487,0.0,-8.096719192913092e-09,-0.00013985519812786918
0.1578570374381945,0.6026274926871663,0.0,-1.6061065833642757e-08,-0.00021471264350233013
0.9185689746905403,0.8147894180620189,0.0,1.4317510316458635e-08,-0.000247935529056623
0.1474142522145158,0.6381335179596039,0.0,5.9595455917559605e-08,-0.00022180010379494662
0.8937764738624747,0.2591404243108437,0.0,-1.6482619360841082e-08,-0.00011415832216245175
0.4895583688575474,0.8944474831847702,0.0,1.6462684328722566e-08,-0.00025469077513999073
0.6377931626251016,0.8475187344487636,0.0,3.5179558675997453e-08,-0.00025111515326647503
0.08130317275417948,0.1850462455587394,0.0,1.4625423337905865e-08,-8.489500013713116e-05
0.09919710483912686,0.9018416128900169,0.0,7.549365502116314e-10,-0.0002552340980999403
0.782611945929174,0.2396917024737427,0.0,1.204802366736797e-09,-0.00010679052120041018
0.8395617556713044,0.3521832340357358,0.0,6.291318084354314e-09,-0.00014712642573810032
0.6669790278180879,0.4402364567289717,0.0,-3.1591919978696153e-09,-0.00017438539852086729
0.8295831790920738,0.8277617148905578,0.0,1.6273391229788648e-10,-0.000249214701272286
