I,J,V
643,838,-3118670.825468493
592,228,-1190251.1696999948
592,838,-7564278.129860108
1202,228,-1564278.1298601017
1202,838,3118670.825468493
643,33,1094889.3315031817
643,643,-373087.8613389024
592,33,8283762.773464539
592,643,1905110.668496837
1202,33,-1094889.3315031817
1202,643,373087.8613389024
417,417,-6925169.541409844
417,1027,3972508.651782912
1027,417,6972508.651782915
1027,1027,-6708860.636874624
201,417,6925169.541409844
201,1027,-3972508.651782912
811,417,-6972508.651782915
811,1027,6708860.636874624
417,201,2655235.6629444836
417,811,-4985015.232314983
1027,201,-1985015.232314989
1027,811,11626614.009661844
201,201,-2655235.6629444836
201,811,4985015.232314983
811,201,1985015.232314989
811,811,-11626614.009661844
417,510,4269933.87846536
417,1120,1012506.5805320714
1027,510,-4987493.419467926
1027,1120,-4917753.372787221
201,510,-4269933.87846536
201,1120,-1012506.5805320714
811,510,4987493.419467926
811,1120,4917753.372787221
201,417,-3046015.098341625
201,1027,-8108.203303192975
811,417,-6008108.203303173
811,1027,5071799.715404202
510,417,3046015.098341625
510,1027,8108.203303192975
1120,417,6008108.203303173
1120,1027,-5071799.715404202
201,201,-1431316.8828207427
201,811,-3010586.3904561205
811,201,-10586.3904561284
811,811,-11472567.667044798
510,201,1431316.8828207427
510,811,3010586.3904561205
1120,201,10586.3904561284
1120,811,11472567.667044798
201,510,4477331.981162367
201,1120,3018694.593759313
811,510,6018694.593759303
811,1120,6400767.951640595
510,510,-4477331.981162367
510,1120,-3018694.593759313
1120,510,-6018694.593759303
1120,1120,-6400767.951640595
510,417,9971184.639751496
510,1027,-3964400.448479721
1120,417,-964400.4484796997
1120,1027,1637060.9214703848
417,417,-9971184.639751496
417,1027,3964400.448479721
1027,417,964400.4484796997
1027,1027,-1637060.9214703848
510,201,-1223918.7801237316
510,811,7995601.622771131
1120,201,1995601.622771119
1120,811,-154046.34261696256
417,201,1223918.7801237316
417,811,-7995601.622771131
1027,201,-1995601.622771119
1027,811,154046.34261696256
510,510,-8747265.859627767
510,1120,-4031201.174291409
1120,510,-1031201.1742914193
1120,1120,-1483014.5788534223
417,510,8747265.859627767
417,1120,4031201.174291409
1027,510,1031201.1742914193
1027,1120,1483014.5788534223
510,510,-1550450.7712209972
510,1120,-4251297.173480262
1120,510,-1251297.1734802604
1120,1120,-7890668.251849524
201,510,1550450.7712209972
201,1120,4251297.173480262
811,510,1251297.1734802604
811,1120,7890668.251849524
510,201,7254317.977202604
510,811,3010903.460091868
1120,201,6010903.460091881
1120,811,4131709.4585879697
201,201,-7254317.977202604
201,811,-3010903.460091868
811,201,-6010903.460091881
811,811,-4131709.4585879697
510,458,-5703867.205981606
510,1068,1240393.7133883939
1120,458,-4759606.28661162
1120,1068,3758958.793261555
201,458,5703867.205981606
201,1068,-1240393.7133883939
811,458,4759606.28661162
811,1068,-3758958.793261555
201,510,237488.14655317488
201,1120,7957455.399394142
811,510,1957455.399394141
811,1120,-1252559.894718589
458,510,-237488.14655317488
458,1120,-7957455.399394142
1068,510,-1957455.399394141
1068,1120,1252559.894718589
201,201,-12720697.036631037
201,811,-2813054.3473093314
811,201,186945.65269065253
811,811,-1625310.5600450533
458,201,12720697.036631037
458,811,2813054.3473093314
1068,201,-186945.65269065253
1068,811,1625310.5600450533
201,458,12483208.890077863
201,1068,-5144401.052084811
811,458,-2144401.0520847933
811,1068,2877870.454763642
458,458,-12483208.890077863
458,1068,5144401.052084811
1068,458,2144401.0520847933
1068,1068,-2877870.454763642
458,510,1312962.6246678222
458,1120,-3706158.2259138804
1068,510,-706158.2259138807
1068,1120,9143228.146568114
510,510,-1312962.6246678222
510,1120,3706158.2259138804
1120,510,706158.2259138807
1120,1120,-9143228.146568114
458,201,5466379.059428435
458,811,-197849.11278253654
1068,201,-6197849.112782534
1068,811,-2506398.898542917
510,201,-5466379.059428435
510,811,197849.11278253654
1120,201,6197849.112782534
1120,811,2506398.898542917
458,458,-6779341.684096256
458,1068,3904007.338696417
1068,458,6904007.338696415
1068,1068,-6636829.248025198
510,458,6779341.684096256
510,1068,-3904007.338696417
1120,458,-6904007.338696415
