I,J,V
145,402,-3183593.299293654
145,1012,-2575370.2201138283
755,402,3424629.7798861787
755,1012,7181399.2567356555
495,495,-5484562.042190055
495,1105,2189419.9966241675
1105,495,5189419.996624168
1105,1105,-2918916.0946822804
145,495,5484562.042190055
145,1105,-2189419.9966241675
755,495,-5189419.996624168
755,1105,2918916.0946822804
153,153,-15154041.896186056
153,763,-1122360.4657753534
763,153,1877639.5342246816
763,763,-1965001.1505048154
404,153,15154041.896186056
404,763,1122360.4657753534
1014,153,-1877639.5342246816
1014,763,1965001.1505048154
153,404,15485426.772694254
153,1014,-6854910.090775732
763,404,-3854910.090775763
763,1014,4655967.647625625
404,404,-15485426.772694254
404,1014,6854910.090775732
1014,404,3854910.090775763
1014,1014,-4655967.647625625
153,497,-331384.87650820013
153,1107,7977270.556551086
763,497,1977270.5565510816
763,1107,-2690966.4971208097
404,497,331384.87650820013
404,1107,-7977270.556551086
1014,497,-1977270.5565510816
1014,1107,2690966.4971208097
404,153,7235393.955158898
404,763,-951442.4416657
1014,153,-6951442.441665641
1014,763,-538178.9374836378
497,153,-7235393.955158898
497,763,951442.4416657
1107,153,6951442.441665641
1107,763,538178.9374836378
404,404,-8581417.694043497
404,1014,4880738.205661056
1014,404,7880738.205661003
1014,1014,-7885113.08222992
497,404,8581417.694043497
497,1014,-4880738.205661056
1107,404,-7880738.205661003
1107,1014,7885113.08222992
404,497,1346023.7388846
404,1107,-3929295.7639953564
1014,497,-929295.7639953623
1014,1107,8423292.019713558
497,497,-1346023.7388846
497,1107,3929295.7639953564
1107,497,929295.7639953623
1107,1107,-8423292.019713558
497,153,7918647.941027152
497,763,2073802.9074410857
1107,153,5073802.9074410945
1107,763,2503180.087988485
153,153,-7918647.941027152
153,763,-2073802.9074410857
763,153,-5073802.9074410945
763,763,-2503180.087988485
497,404,-6904009.078650726
497,1014,1974171.8851146377
1107,404,-4025828.1148853754
1107,1014,3229145.434604422
153,404,6904009.078650726
153,1014,-1974171.8851146377
763,404,4025828.1148853754
763,1014,-3229145.434604422
497,497,-1014638.8623764261
497,1107,-4047974.792555723
1107,497,-1047974.7925557189
1107,1107,-5732325.522592907
153,497,1014638.8623764261
153,1107,4047974.792555723
763,497,1047974.7925557189
763,1107,5732325.522592907
143,143,-14280690.390807025
143,753,-194313.76147863246
753,143,2805686.2385213743
753,753,-1936888.6130102426
403,143,14280690.390807025
403,753,194313.76147863246
1013,143,-2805686.2385213743
1013,753,1936888.6130102426
143,403,11339530.562620122
143,1013,-6873123.133357287
753,403,-3873123.133357292
753,1013,4811747.285761864
403,403,-11339530.562620122
403,1013,6873123.133357287
1013,403,3873123.133357292
1013,1013,-4811747.285761864
143,496,2941159.828186904
143,1106,7067436.89483592
753,496,1067436.8948359177
753,1106,-2874858.672751621
403,496,-2941159.828186904
403,1106,-7067436.89483592
1013,496,-1067436.8948359177
1013,1106,2874858.672751621
403,143,3978674.9860960823
403,753,-1652986.4205430085
1013,143,-7652986.420543009
1013,753,-461115.47473242413
496,143,-3978674.9860960823
496,753,1652986.4205430085
1106,143,7652986.420543009
1106,753,461115.47473242413
403,403,-4419695.748337129
403,1013,3287573.6076501976
1013,403,6287573.607650199
1013,1013,-8147721.433245891
496,403,4419695.748337129
496,1013,-3287573.6076501976
1106,403,-6287573.607650199
1106,1013,8147721.433245891
403,496,441020.7622410469
403,1106,-1634587.187107189
1013,496,1365412.8128928114
1013,1106,8608836.907978315
496,496,-441020.7622410469
496,1106,1634587.187107189
1106,496,-1365412.8128928114
1106,1106,-8608836.907978315
496,143,10302015.404710943
496,753,1847300.182021641
1106,143,4847300.182021636
1106,753,2398004.0877426667
143,143,-10302015.404710943
143,753,-1847300.182021641
753,143,-4847300.182021636
753,753,-2398004.0877426667
496,403,-6919834.814282991
496,1013,3585549.5257070903
1106,403,-2414450.474292907
1106,1013,3335974.147484028
143,403,6919834.814282991
143,1013,-3585549.5257070903
753,403,2414450.474292907
753,1013,-3335974.147484028
496,496,-3382180.5904279505
496,1106,-5432849.7077287305
1106,496,-2432849.707728729
1106,1106,-5733978.2352266945
143,496,3382180.5904279505
143,1106,5432849.7077287305
753,496,2432849.707728729
753,1106,5733978.2352266945
511,511,-8087524.769983255
511,1121,2683549.908316657
1121,511,5683549.908316652
1121,1121,-3383561.8423938155
229,511,8087524.769983255
229,1121,-2683549.908316657
839,511,-5683549.908316652
839,1121,3383561.8423938155
511,229,5025198.639795021
511,839,-6921912.696527955
1121,229,-3921912.6965279602
1121,839,10416204.09184185
229,229,-5025198.639795021
229,839,6921912.696527955
839,229,3921912.6965279602
839,839,-10416204.09184185
511,461,3062326.130188235
511,1071,4238362.788211298
1121,461,-1761637.211788693
1121,1071,-7032642.249448034
229,461,-3062326.130188235
229,1071,-4238362.788211298
839,461,1761637.211788693
839,1071,7032642.249448034
229,511,-162073.11721761158
229,1121,-1852821.44246074
839,511,-7852821.442460741
839,1121,2973909.185833938
461,511,162073.11721761158
461,1121,1852821.44246074
1071,511,7852821.442460741
1071,1121,-2973909.185833938
229,229,-2124945.626824486
229,839,307454.0422785904
839,229,3307454.0422785594
839,839,-14474937.15545601
461,229,2124945.626824486
461,839,-307454.0422785904
1071,229,-3307454.0422785594
1071,839,14474937.15545601
229,461,2287018.744042097
229,1071,1545367.4001821494
839,461,4545367.400182182
839,1071,11501027.96962207
461,461,-2287018.744042097
461,1071,-1545367.4001821494
1071,461,-4545367.400182182
1071,1071,-11501027.96962207
461,511,8249597.887201038
461,1121,-830728.4658559536
1071,511,2169271.534144053
1071,1121,409652.6565599167
511,511,-8249597.887201038
511,1121,830728.4658559536
1121,511,-2169271.534144053
1121,1121,-409652.6565599167
461,229,-2900253.012970618
461,839,6614458.654249506
1071,229,614458.6542494474
1071,839,4058733.063614097
511,229,2900253.012970618
511,839,-6614458.654249506
1121,229,-614458.6542494474
1121,839,-4058733.063614097
461,461,-5349344.87423042
461,1071,-5783730.188393552
1071,461,-2783730.1883935
1071,1071,-4468385.720174014
511,461,5349344.87423042
511,1071,5783730.188393552
1121,461,2783730.1883935
1121,1071,4468385.720174014
111,111,-6495920.249965256
111,721,-6884170.560472042
721,111,-3884170.5604720055
721,721,-6866141.696307775
229,111,6495920.249965256
229,721,6884170.560472042
839,111,3884170.5604720055
839,721,6866141.696307775
111,229,13204914.712192275
111,839,2800343.930126754
721,229,5800343.930126742
721,839,3521473.9693736387
229,229,-13204914.712192275
229,839,-2800343.930126754
839,229,-5800343.930126742
839,839,-3521473.9693736387
111,511,-6708994.462227019
111,1121,4083826.6303452887
721,511,-1916173.3696547367
721,1121,3344667.726934136
229,511,6708994.462227019
229,1121,-4083826.6303452887
839,511,1916173.3696547367
839,1121,-3344667.726934136
229,111,5652509.960922042
229,721,6724324.8267886685
839,111,724324.8267887468
839,721,-1615964.9939760808
511,111,-5652509.960922042
511,721,-6724324.8267886685
1121,111,-724324.8267887468
1121,721,1615964.9939760808
229,229,-14261399.213496832
229,839,-992192.4729927179
839,229,2007807.527007248
839,839,-1792771.2364155422
511,229,14261399.213496832
511,839,992192.4729927179
1121,229,-2007807.527007248
1121,839,1792771.2364155422
229,511,8608889.25257479
229,1121,-5732132.35379595
839,511,-2732132.353795995
839,1121,3408736.230391623
511,511,-8608889.25257479
511,1121,5732132.35379595
1121,511,2732132.353795995
1121,1121,-3408736.230391623
511,111,843410.2890430387
511,721,159845.7336831676
1121,111,3159845.7336832215
1121,721,8482106.690283865
111,111,-843410.2890430387
111,721,-159845.7336831676
721,111,-3159845.7336832215
721,721,-8482106.690283865
511,229,1056484.501304985
511,839,-1808151.4571339972
1121,229,-7808151.457134015
1121,839,-1728702.7329580341
111,229,-1056484.501304985
111,839,1808151.4571339972
721,229,7808151.457134015
721,839,1728702.7329580341
511,511,-1899894.7903480236
511,1121,1648305.7234508297
1121,511,4648305.723450793
1121,1121,-6753403.957325831
111,511,1899894.7903480236
111,1121,-1648305.7234508297
721,511,-4648305.723450793
721,1121,6753403.957325831
317,317,-5499704.274387392
317,927,2505237.1934793466
927,317,5505237.193479349
927,927,-3640514.5914446767
356,317,5499704.274387392
356,927,-2505237.1934793466
966,317,-5505237.193479349
966,927,3640514.5914446767
317,356,1563663.0710289956
317,966,-4011593.667957636
927,356,-1011593.6679576435
927,966,9329656.959047768
356,356,-1563663.0710289956
356,966,4011593.667957636
966,356,1011593.6679576435
966,966,-9329656.959047768
317,440,3936041.203358397
317,1050,1506356.4744782897
927,440,-4493643.525521706
927,1050,-5689142.367603092
356,440,-3936041.203358397
356,1050,-1506356.4744782897
966,440,4493643.525521706
966,1050,5689142.367603092
356,317,-4395549.125019353
356,927,-502796.4139241944
966,317,-6502796.413924197
966,927,2827731.1484950595
440,317,4395549.125019353
440,927,502796.4139241944
1050,317,6502796.413924197
1050,927,-2827731.1484950595
356,356,-2023170.9926899322
356,966,-3984846.2714882595
966,356,-984846.2714882549
966,966,-12191068.178155798
440,356,2023170.9926899322
440,966,3984846.2714882595
1050,356,984846.2714882549
1050,966,12191068.178155798
356,440,6418720.1177092865
356,1050,4487642.6854124535
966,440,7487642.685412452
966,1050,9363337.029660739
440,440,-6418720.1177092865
440,1050,-4487642.6854124535
1050,440,-7487642.685412452
1050,1050,-9363337.029660739
440,317,9895253.399406744
440,927,-2002440.7795551517
1050,317,997559.2204448478
1050,927,812783.4429496165
317,317,-9895253.399406744
317,927,2002440.7795551517
927,317,-997559.2204448478
927,927,-812783.4429496165
440,356,459507.92166093685
440,966,7996439.939445895
1050,356,1996439.9394458982
1050,966,2861411.21910803
317,356,-459507.92166093685
317,966,-7996439.939445895
927,356,-1996439.9394458982
927,966,-2861411.21910803
440,440,-10354761.321067683
440,1050,-5993999.159890744
1050,440,-2993999.1598907458
1050,1050,-3674194.662057647
317,440,10354761.321067683
317,1050,5993999.159890744
927,440,2993999.1598907458
927,1050,3674194.662057647
439,439,-3526392.16694506
439,1049,-5679550.925058428
1049,439,-2679550.925058414
1049,1049,-7108913.132190015
475,439,3526392.16694506
475,1049,5679550.925058428
1085,439,2679550.925058414
1085,1049,7108913.132190015
439,475,10295932.309109466
439,1085,2952045.1065526805
1049,475,5952045.106552677
1049,1085,3621751.516693673
475,475,-10295932.309109466
475,1085,-2952045.1065526805
1085,475,-5952045.106552677
1085,1085,-3621751.516693673
439,189,-6769540.142164405
439,799,2727505.818505747
1049,189,-3272494.181494263
1049,799,3487161.615496342
475,189,6769540.142164405
475,799,-2727505.818505747
1085,189,3272494.181494263
1085,799,-3487161.615496342
475,439,3051552.4686502176
475,1049,7459946.041363316
1085,439,1459946.0413633352
1085,1049,-1588271.8025011844
189,439,-3051552.4686502176
189,1049,-7459946.041363316
799,439,-1459946.0413633352
799,1049,1588271.8025011844
475,475,-14013919.982623532
475,1085,-1764593.2466835908
1085,475,1235406.7533164034
1085,1085,-1722861.7036984954
189,475,14013919.982623532
189,1085,1764593.2466835908
799,475,-1235406.7533164034
799,1085,1722861.7036984954
475,189,10962367.513973316
475,799,-5695352.794679725
1085,189,-2695352.7946797386
1085,799,3311133.5061996803
189,189,-10962367.513973316
189,799,5695352.794679725
799,189,2695352.7946797386
799,799,-3311133.5061996803
189,439,474839.69829481666
189,1049,-1780395.1163049447
799,439,1219604.8836950653
799,1049,8697184.934691196
439,439,-474839.69829481666
439,1049,1780395.1163049447
1049,439,-1219604.8836950653
1049,1049,-8697184.934691196
189,475,3717987.673514175
189,1085,-1187451.8598690731
799,475,-7187451.859869077
799,1085,-1898889.81299516
439,475,-3717987.673514175
439,1085,1187451.8598690731
1049,475,7187451.859869077
1049,1085,1898889.81299516
189,189,-4192827.3718089913
189,799,2967846.9761740174
799,189,5967846.976174012
799,799,-6798295.121696035
439,189,4192827.3718089913
439,799,-2967846.9761740174
1049,189,-5967846.976174012
1049,799,6798295.121696035
416,416,-7113262.688029668
416,1026,2686249.926901842
1026,416,5686249.92690183
1026,1026,-3537939.606555453
476,416,7113262.688029668
476,1026,-2686249.926901842
1086,416,-5686249.92690183
1086,1026,3537939.606555453
416,476,3623692.0677744197
416,1086,-5953757.649121529
1026,476,-2953757.649121519
1026,1086,10304758.86178853
476,476,-3623692.0677744197
476,1086,5953757.649121529
1086,476,2953757.649121519
1086,1086,-10304758.86178853
416,190,3489570.6202552496
416,800,3267507.722219688
1026,190,-2732492.277780312
1026,800,-6766819.255233076
476,190,-3489570.6202552496
476,800,-3267507.722219688
1086,190,2732492.277780312
1086,800,6766819.255233076
476,416,-1587597.16319776
476,1026,-1457680.9078896584
1086,416,-7457680.907889681
1086,1026,3062857.4669580716
190,416,1587597.16319776
190,1026,1457680.9078896584
800,416,7457680.907889681
800,1026,-3062857.4669580716
476,476,-1721718.6107169525
476,1086,-1236415.5365484525
1086,476,1763584.463451555
1086,1086,-14008720.650063645
190,476,1721718.6107169525
190,1086,1236415.5365484525
800,476,-1763584.463451555
800,1086,14008720.650063645
476,190,3309315.7739147125
476,800,2694096.44443811
1086,190,5694096.444438126
1086,800,10945863.183105575
190,190,-3309315.7739147125
190,800,-2694096.44443811
800,190,-5694096.444438126
800,800,-10945863.183105575
190,416,8700859.851227434
190,1026,-1228569.0190121983
800,416,1771430.9809877928
800,1026,475082.1395974074
416,416,-8700859.851227434
416,1026,1228569.0190121983
1026,416,-1771430.9809877928
1026,1026,-475082.1395974074
190,476,-1901973.4570574851
190,1086,7190173.1856699865
800,476,1190173.1856699807
800,1086,3703961.78827501
416,476,1901973.4570574851
416,1086,-7190173.1856699865
1026,476,-1190173.1856699807
1026,1086,-3703961.78827501
190,190,-6798886.394169949
190,800,-5961604.166657789
800,190,-2961604.166657774
800,800,-4179043.9278724175
416,190,6798886.394169949
416,800,5961604.166657789
1026,190,2961604.166657774
1026,800,4179043.9278724175
138,138,-5918370.990656844
138,748,4014197.829935197
748,138,7014197.829935222
748,748,-8213539.092315658
240,138,5918370.990656844
240,748,-4014197.829935197
850,138,-7014197.829935222
850,748,8213539.092315658
138,240,1526283.5524890004
138,850,-3468414.9584327205
748,240,-468414.95843274554
748,850,10968301.792060813
240,240,-1526283.5524890004
240,850,3468414.9584327205
850,240,468414.95843274554
850,850,-10968301.792060813
138,361,4392087.438167844
138,971,-545782.871502476
748,361,-6545782.871502476
748,971,-2754762.6997451545
240,361,-4392087.438167844
240,971,545782.871502476
850,361,6545782.871502476
850,971,2754762.6997451545
240,138,-4696106.498870591
240,748,1656608.117906639
850,138,-4343391.882093332
850,748,4937739.148225394
361,138,4696106.498870591
361,748,-1656608.117906639
971,138,4343391.882093332
971,748,-4937739.148225394
240,240,-1830302.6131916714
240,850,-4420759.795163077
850,240,-1420759.7951630757
850,850,-8785325.343580425
361,240,1830302.6131916714
361,850,4420759.795163077
971,240,1420759.7951630757
971,850,8785325.343580425
240,361,6526409.112062262
240,971,2764151.677256439
850,361,5764151.677256407
850,971,3847586.1953550307
361,361,-6526409.112062262
361,971,-2764151.677256439
971,361,-5764151.677256407
971,971,-3847586.1953550307
361,138,10614477.489527503
361,748,-5670805.947841851
971,138,-2670805.94784178
971,748,3275799.9440901377
138,138,-10614477.489527503
138,748,5670805.947841851
748,138,2670805.94784178
748,748,-3275799.9440901377
361,240,304019.0607027124
361,850,7889174.75359587
971,240,1889174.7535958467
971,850,-2182976.4484801767
138,240,-304019.0607027124
138,850,-7889174.75359587
748,240,-1889174.7535958467
748,850,2182976.4484801767
361,361,-10918496.550230214
361,971,-2218368.805754019
971,361,781631.1942459331
971,971,-1092823.495609961
138,361,10918496.550230214
138,971,2218368.805754019
748,361,-781631.1942459331
748,971,1092823.495609961
219,219,-7698207.098966591
219,829,-7540779.8292343635
829,219,-4540779.829234383
829,829,-7699507.261426703
569,219,7698207.098966591
569,829,7540779.8292343635
1179,219,4540779.829234383
1179,829,7699507.261426703
219,569,13747568.988668408
219,1179,3223609.4716647845
829,569,6223609.4716647975
829,1179,3961803.2818339015
569,569,-13747568.988668408
569,1179,-3223609.4716647845
1179,569,-6223609.4716647975
1179,1179,-3961803.2818339015
219,345,-6049361.889701817
219,955,4317170.357569579
829,345,-1682829.642430414
829,955,3737703.9795928015
569,345,6049361.889701817
569,955,-4317170.357569579
1179,345,1682829.642430414
1179,955,-3737703.9795928015
569,219,6267009.0966357235
569,829,6653486.286180338
1179,219,653486.286180319
1179,829,-1395601.7837565856
345,219,-6267009.0966357235
345,829,-6653486.286180338
955,219,-653486.286180319
955,829,1395601.7837565856
569,569,-13529921.78173462
569,1179,-1252952.827914875
1179,569,1747047.172085137
1179,1179,-1619701.085997696
345,569,13529921.78173462
345,1179,1252952.827914875
955,569,-1747047.172085137
955,1179,1619701.085997696
569,345,7262912.685098896
569,955,-5400533.458265464
1179,345,-2400533.458265456
1179,955,3015302.869754282
345,345,-7262912.685098896
345,955,5400533.458265464
955,345,2400533.458265456
955,955,-3015302.869754282
345,219,1431198.0023309197
345,829,887293.5430540821
955,219,3887293.5430540643
955,829,9095109.045183266
219,219,-1431198.0023309197
219,829,-887293.5430540821
829,219,-3887293.5430540643
829,829,-9095109.045183266
345,569,-217647.2069339056
345,1179,-1970656.6437499179
955,569,-7970656.643749908
955,1179,-2342102.195836216
219,569,217647.2069339056
219,1179,1970656.6437499179
829,569,7970656.643749908
829,1179,2342102.195836216
345,345,-1213550.7953970146
345,955,1083363.100695836
955,345,4083363.100695844
955,955,-6753006.849347049
219,345,1213550.7953970146
219,955,-1083363.100695836
829,345,-4083363.100695844
829,955,6753006.849347049
86,86,-13034831.897154946
86,696,614292.9028044277
696,86,3614292.902804464
696,696,-1981795.2625307804
167,86,13034831.897154946
167,696,-614292.9028044277
777,86,-3614292.902804464
777,696,1981795.2625307804
86,167,11053864.438313238
86,777,-7644558.88458496
696,167,-4644558.8845850015
696,777,6115802.590874433
167,167,-11053864.438313238
167,777,7644558.88458496
777,167,4644558.8845850015
777,777,-6115802.590874433
86,602,1980967.458841709
86,1212,7030265.981780531
696,602,1030265.981780537
696,1212,-4134007.328343651
167,602,-1980967.458841709
167,1212,-7030265.981780531
777,602,-1030265.981780537
777,1212,4134007.328343651
167,86,4162271.1977147986
167,696,-1875079.6162381896
777,86,-7875079.6162381265
777,696,285643.32060213154
602,86,-4162271.1977147986
602,696,1875079.6162381896
1212,86,7875079.6162381265
1212,696,-285643.32060213154
167,167,-4910625.781756779
167,777,3799745.250127311
777,167,6799745.250127247
777,777,-9964166.598615753
602,167,4910625.781756779
602,777,-3799745.250127311
1212,167,-6799745.250127247
1212,777,9964166.598615753
167,602,748354.5840419801
167,1212,-1924665.633889121
777,602,1075334.366110881
777,1212,9678523.278013622
602,602,-748354.5840419801
602,1212,1924665.633889121
1212,602,-1075334.366110881
1212,1212,-9678523.278013622
602,86,8872560.699440258
602,696,1260786.7134338007
1212,86,4260786.713433809
1212,696,1696151.9419286745
86,86,-8872560.699440258
86,696,-1260786.7134338007
696,86,-4260786.713433809
696,696,-1696151.9419286745
602,167,-6143238.656556516
602,777,3844813.634457677
1212,167,-2155186.3655423457
1212,777,3848364.0077414787
86,167,6143238.656556516
86,777,-3844813.634457677
696,167,2155186.3655423457
696,777,-3848364.0077414787
602,602,-2729322.042883742
602,1212,-5105600.347891478
1212,602,-2105600.347891464
1212,1212,-5544515.949670153
86,602,2729322.042883742
86,1212,5105600.347891478
696,602,2105600.347891464
696,1212,5544515.949670153
460,460,-13556468.736663315
460,1070,219169.64856643602
1070,460,3219169.648566446
1070,1070,-1920638.5982854627
321,460,13556468.736663315
321,1070,-219169.64856643602
931,460,-3219169.648566446
931,1070,1920638.5982854627
460,321,11008376.308939347
460,931,-7222002.013764171
1070,321,-4222002.013764166
1070,931,5401946.148532126
321,321,-11008376.308939347
321,931,7222002.013764171
931,321,4222002.013764166
931,931,-5401946.148532126
460,177,2548092.4277239675
460,787,7002832.365197736
1070,177,1002832.3651977206
1070,787,-3481307.550246663
321,177,-2548092.4277239675
321,787,-7002832.365197736
931,177,-1002832.3651977206
931,787,3481307.550246663
321,460,3936176.831544904
321,1070,-1766539.6944407907
931,460,-7766539.694440805
931,1070,-128162.40442575468
177,460,-3936176.831544904
177,1070,1766539.6944407907
787,460,7766539.694440805
787,1070,128162.40442575468
321,321,-4524107.049670406
321,931,3458294.684521078
931,321,6458294.684521101
931,931,-9011416.103204526
177,321,4524107.049670406
177,931,-3458294.684521078
787,321,-6458294.684521101
787,931,9011416.103204526
321,177,587930.2181255026
321,787,-1691754.9900802881
931,177,1308245.009919704
931,787,9139578.507630281
177,177,-587930.2181255026
177,787,1691754.9900802881
787,177,-1308245.009919704
787,787,-9139578.507630281
177,460,9620291.90511832
177,1070,1547370.0458743507
787,460,4547370.045874359
787,1070,2048801.0027112025
460,460,-9620291.90511832
460,1070,-1547370.0458743507
1070,460,-4547370.045874359
1070,1070,-2048801.0027112025
177,321,-6484269.2592688715
177,931,3763707.3292430486
787,321,-2236292.6707569463
787,931,3609469.954672413
460,321,6484269.2592688715
460,931,-3763707.3292430486
1070,321,2236292.6707569463
1070,931,-3609469.954672413
177,177,-3136022.6458494486
177,787,-5311077.3751174
787,177,-2311077.375117413
787,787,-5658270.957383615
460,177,3136022.6458494486
460,787,5311077.3751174
1070,177,2311077.375117413
1070,787,5658270.957383615
443,443,-713045.3559249295
443,1053,-1890614.4811346359
1053,443,1109385.5188653641
1053,1053,-9555241.664650649
247,443,713045.3559249295
247,1053,1890614.4811346359
857,443,-1109385.5188653641
857,1053,9555241.664650649
443,247,4655891.941778306
443,857,3540870.1431723614
1053,247,6540870.143172378
1053,857,9070643.60534615
247,247,-4655891.941778306
247,857,-3540870.1431723614
857,247,-6540870.143172378
857,857,-9070643.60534615
443,595,-3942846.585853376
443,1205,-1650255.6620377256
1053,595,-7650255.662037742
1053,1205,484598.05930449837
247,595,3942846.585853376
247,1205,1650255.6620377256
857,595,7650255.662037742
857,1205,-484598.05930449837
247,443,-2210625.449311316
247,1053,7149048.673941121
857,443,1149048.6739411415
857,1053,3438319.2641739906
595,443,2210625.449311316
595,1053,-7149048.673941121
1205,443,-1149048.6739411415
1205,1053,-3438319.2641739906
247,247,-10809363.976942977
247,857,-7042077.131268915
857,247,-4042077.1312689153
857,857,-5147726.281867584
595,247,10809363.976942977
595,857,7042077.131268915
1205,247,4042077.1312689153
1205,857,5147726.281867584
247,595,13019989.426254295
247,1205,-106971.54267220723
857,595,2893028.457327774
857,1205,1709407.0176935936
595,595,-13019989.426254295
595,1205,106971.54267220723
1205,595,-2893028.457327774
1205,1205,-1709407.0176935936
595,443,2923670.8052362422
595,1053,-5258434.192806509
1205,443,-2258434.1928064977
1205,1053,6116922.400476573
443,443,-2923670.8052362422
443,1053,5258434.192806509
1053,443,2258434.1928064977
1053,1053,-6116922.400476573
595,247,6153472.035164726
595,857,3501206.988096591
1205,247,-2498793.0119034033
1205,857,-3922917.323478484
443,247,-6153472.035164726
443,857,-3501206.988096591
1053,247,2498793.0119034033
1053,857,3922917.323478484
595,595,-9077142.840400968
595,1205,1757227.204709919
1205,595,4757227.204709901
1205,1205,-2194005.07699809
443,595,9077142.840400968
443,1205,-1757227.204709919
1053,595,-4757227.204709901
1053,1205,2194005.07699809
444,444,-9627905.519995093
444,1054,-1056227.0055139696
1054,444,1943772.9944860258
1054,1054,-737848.7326626267
248,444,9627905.519995093
248,1054,1056227.0055139696
858,444,-1943772.9944860258
858,1054,737848.7326626267
444,248,9127842.355880149
444,858,-6583444.036373021
1054,248,-3583444.036373021
1054,858,4718106.761216623
248,248,-9127842.355880149
248,858,6583444.036373021
858,248,3583444.036373021
858,858,-4718106.761216623
444,596,500063.16411494487
444,1206,7639671.041886991
1054,596,1639671.041886995
1054,1206,-3980258.028553996
248,596,-500063.16411494487
248,1206,-7639671.041886991
858,596,-1639671.041886995
858,1206,3980258.028553996
248,444,3469200.1266123145
248,1054,-1172960.056614047
858,444,-7172960.056614051
858,1054,-2122803.7099319594
596,444,-3469200.1266123145
596,1054,1172960.056614047
1206,444,7172960.056614051
1206,1054,2122803.7099319594
248,248,-5158579.065152893
248,858,4050155.0216459758
858,248,7050155.02164598
858,858,-10821168.499702599
596,248,5158579.065152893
596,858,-4050155.0216459758
1206,248,-7050155.02164598
1206,858,10821168.499702599
248,596,1689378.938540578
248,1206,-2877194.9650319293
858,596,122805.03496806999
858,1206,12943972.20963456
596,596,-1689378.938540578
596,1206,2877194.9650319293
1206,596,-122805.03496806999
1206,1206,-12943972.20963456
596,444,6158705.393382756
596,1054,2229187.0621280055
1206,444,5229187.062127995
1206,1054,2860652.442594571
444,444,-6158705.393382756
444,1054,-2229187.0621280055
1054,444,-5229187.062127995
1054,1054,-2860652.442594571
596,248,-3969263.2907272447
596,858,2533289.0147270393
1206,248,-3466710.9852729384
1206,858,6103061.738485939
444,248,3969263.2907272447
444,858,-2533289.0147270393
1054,248,3466710.9852729384
1054,858,-6103061.738485939
596,596,-2189442.102655512
596,1206,-4762476.076855045
1206,596,-1762476.076855057
1206,1206,-8963714.181080509
444,596,2189442.102655512
444,1206,4762476.076855045
1054,596,1762476.076855057
1054,1206,8963714.181080509
461,461,-10073804.089882575
461,1071,3820991.3000603383
1071,461,6820991.300060355
1071,1071,-4924389.241516324
319,461,10073804.089882575
319,1071,-3820991.3000603383
929,461,-6820991.300060355
929,1071,4924389.241516324
461,319,4809114.019838894
461,929,-6703433.893020242
1071,319,-3703433.8930202667
1071,929,9663968.52901463
319,319,-4809114.019838894
319,929,6703433.893020242
929,319,3703433.8930202667
929,929,-9663968.52901463
461,511,5264690.07004368
461,1121,2882442.5929599046
1071,511,-3117557.407040088
1071,1121,-4739579.2874983065
319,511,-5264690.07004368
319,1121,-2882442.5929599046
929,511,3117557.407040088
929,1121,4739579.2874983065
319,461,-1517806.0989968325
319,1071,-1352912.7429402554
929,461,-7352912.742940251
929,1071,3628144.9043030785
511,461,1517806.0989968325
511,1071,1352912.7429402554
1121,461,7352912.742940251
1121,1071,-3628144.9043030785
319,319,-1062230.048792025
319,929,-767036.2569600651
929,319,2232963.743039933
929,929,-10775402.91220981
511,319,1062230.048792025
511,929,767036.2569600651
1121,319,-2232963.743039933
1121,929,10775402.91220981
319,511,2580036.1477888576
319,1121,2119948.9999003205
929,511,5119948.999900316
929,1121,7147258.007906733
511,511,-2580036.1477888576
511,1121,-2119948.9999003205
1121,511,-5119948.999900316
1121,1121,-7147258.007906733
511,461,11591610.188879406
511,1071,-2468078.557120075
1121,461,531921.442879925
1121,1071,1296244.3372132294
461,461,-11591610.188879406
461,1071,2468078.557120075
1071,461,-531921.442879925
1071,1071,-1296244.3372132294
511,319,-3746883.971046862
511,929,7470470.149980305
1121,319,1470470.149980323
1121,929,1111434.3831952256
461,319,3746883.971046862
461,929,-7470470.149980305
1071,319,-1470470.149980323
1071,929,-1111434.3831952256
511,511,-7844726.217832543
511,1121,-5002391.59286023
1121,511,-2002391.592860248
1121,1121,-2407678.720408455
461,511,7844726.217832543
461,1121,5002391.59286023
1071,511,2002391.592860248
1071,1121,2407678.720408455
5,5,-7372425.195852361
5,615,5992375.8163302
410,5,7372425.195852361
410,615,-5992375.8163302
1020,5,-8992375.816330198
1020,615,15317121.023580018
5,410,2418839.791356789
5,1020,-4000000.0000000005
410,410,-2418839.791356789
410,1020,4000000.0000000005
1020,410,999999.9999999999
1020,1020,-14513038.748140736
5,4,4953585.404495572
5,614,-1992375.8163301996
410,4,-4953585.404495572
410,614,1992375.8163301996
1020,4,7992375.816330199
1020,614,-804082.2754392838
410,5,-3746933.8712931434
410,615,2992375.8163302005
1020,5,-3007624.183669801
1020,615,6435826.9237752855
4,5,3746933.8712931434
4,615,-2992375.8163302005
410,410,-1212188.2581543617
410,1020,-4000000.0000000005
1020,410,-999999.9999999999
1020,1020,-7273129.548926171
4,410,1212188.2581543617
4,1020,4000000.0000000005
410,4,4959122.129447505
